,1,2,3,4,5,collected,annotated,,,,,,,
83,AllenKey,Axis2,M30,S40_40_B,S40_40_G,,,,,,,,,
84,AllenKey,Bearing2,Drill,F20_20_B,F20_20_G,,,,,,,,,
85,AllenKey,Bearing2,Drill,F20_20_B,Housing,,,,,,,,,
86,AllenKey,Bearing2,Drill,F20_20_B,M20,,,,,,,,,
87,AllenKey,Bearing2,Drill,F20_20_B,M30,,,,,,,,,
88,AllenKey,Bearing2,Drill,F20_20_B,S40_40_B,,,,,,,,,
89,AllenKey,Bearing2,Drill,F20_20_B,S40_40_G,,,,,,,,,
90,AllenKey,Bearing2,Drill,F20_20_G,Housing,,,,,,,,,
91,AllenKey,Bearing2,Drill,F20_20_G,M20,,,,,,,,,
92,AllenKey,Bearing2,Drill,F20_20_G,M30,,,,,,,,,
93,AllenKey,Bearing2,Drill,F20_20_G,S40_40_B,,,,,,,,,
94,AllenKey,Bearing2,Drill,F20_20_G,S40_40_G,,,,,,,,,
95,AllenKey,Bearing2,Drill,Housing,M20,,,,,,,,,
96,AllenKey,Bearing2,Drill,Housing,M30,,,,,,,,,
97,AllenKey,Bearing2,Drill,Housing,S40_40_B,,,,,,,,,
98,AllenKey,Bearing2,Drill,Housing,S40_40_G,,,,,,,,,
99,AllenKey,Bearing2,Drill,M20,M30,,,,,,,,,
100,AllenKey,Bearing2,Drill,M20,S40_40_B,,,,,,,,,
101,AllenKey,Bearing2,Drill,M20,S40_40_G,,,,,,,,,
102,AllenKey,Bearing2,Drill,M30,S40_40_B,,,,,,,,,
103,AllenKey,Bearing2,Drill,M30,S40_40_G,,,,,,,,,
104,AllenKey,Bearing2,Drill,S40_40_B,S40_40_G,,,,,,,,,
105,AllenKey,Bearing2,F20_20_B,F20_20_G,Housing,,,,,,,,,
106,AllenKey,Bearing2,F20_20_B,F20_20_G,M20,,,,,,,,,
107,AllenKey,Bearing2,F20_20_B,F20_20_G,M30,,,,,,,,,
108,AllenKey,Bearing2,F20_20_B,F20_20_G,S40_40_B,,,,,,,,,
109,AllenKey,Bearing2,F20_20_B,F20_20_G,S40_40_G,,,,,,,,,
110,AllenKey,Bearing2,F20_20_B,Housing,M20,,,,,,,,,
111,AllenKey,Bearing2,F20_20_B,Housing,M30,,,,,,,,,
112,AllenKey,Bearing2,F20_20_B,Housing,S40_40_B,,,,,,,,,
113,AllenKey,Bearing2,F20_20_B,Housing,S40_40_G,,,,,,,,,
114,AllenKey,Bearing2,F20_20_B,M20,M30,,,,,,,,,
115,AllenKey,Bearing2,F20_20_B,M20,S40_40_B,,,,,,,,,
116,AllenKey,Bearing2,F20_20_B,M20,S40_40_G,,,,,,,,,
117,AllenKey,Bearing2,F20_20_B,M30,S40_40_B,,,,,,,,,
118,AllenKey,Bearing2,F20_20_B,M30,S40_40_G,,,,,,,,,
119,AllenKey,Bearing2,F20_20_B,S40_40_B,S40_40_G,,,,,,,,,
120,AllenKey,Bearing2,F20_20_G,Housing,M20,,,,,,,,,
121,AllenKey,Bearing2,F20_20_G,Housing,M30,,,,,,,,,
122,AllenKey,Bearing2,F20_20_G,Housing,S40_40_B,,,,,,,,,
123,AllenKey,Bearing2,F20_20_G,Housing,S40_40_G,,,,,,,,,
124,AllenKey,Bearing2,F20_20_G,M20,M30,,,,,,,,,
125,AllenKey,Bearing2,F20_20_G,M20,S40_40_B,,,,,,,,,
126,AllenKey,Bearing2,F20_20_G,M20,S40_40_G,,,,,,,,,
127,AllenKey,Bearing2,F20_20_G,M30,S40_40_B,,,,,,,,,
128,AllenKey,Bearing2,F20_20_G,M30,S40_40_G,,,,,,,,,
129,AllenKey,Bearing2,F20_20_G,S40_40_B,S40_40_G,,,,,,,,,
130,AllenKey,Bearing2,Housing,M20,M30,,,,,,,,,
131,AllenKey,Bearing2,Housing,M20,S40_40_B,,,,,,,,,
132,AllenKey,Bearing2,Housing,M20,S40_40_G,,,,,,,,,
133,AllenKey,Bearing2,Housing,M30,S40_40_B,,,,,,,,,
134,AllenKey,Bearing2,Housing,M30,S40_40_G,,,,,,,,,
135,AllenKey,Bearing2,Housing,S40_40_B,S40_40_G,,,,,,,,,
136,AllenKey,Bearing2,M20,M30,S40_40_B,,,,,,,,,
137,AllenKey,Bearing2,M20,M30,S40_40_G,,,,,,,,,
138,AllenKey,Bearing2,M20,S40_40_B,S40_40_G,,,,,,,,,
139,AllenKey,Bearing2,M30,S40_40_B,S40_40_G,,,,,,,,,
140,AllenKey,Drill,F20_20_B,F20_20_G,Housing,,,,,,,,,
141,AllenKey,Drill,F20_20_B,F20_20_G,M20,,,,,,,,,
142,AllenKey,Drill,F20_20_B,F20_20_G,M30,,,,,,,,,
143,AllenKey,Drill,F20_20_B,F20_20_G,S40_40_B,,,,,,,,,
144,AllenKey,Drill,F20_20_B,F20_20_G,S40_40_G,,,,,,,,,
145,AllenKey,Drill,F20_20_B,Housing,M20,,,,,,,,,
146,AllenKey,Drill,F20_20_B,Housing,M30,,,,,,,,,
147,AllenKey,Drill,F20_20_B,Housing,S40_40_B,,,,,,,,,
148,AllenKey,Drill,F20_20_B,Housing,S40_40_G,,,,,,,,,
149,AllenKey,Drill,F20_20_B,M20,M30,,,,,,,,,
150,AllenKey,Drill,F20_20_B,M20,S40_40_B,,,,,,,,,
151,AllenKey,Drill,F20_20_B,M20,S40_40_G,,,,,,,,,
152,AllenKey,Drill,F20_20_B,M30,S40_40_B,,,,,,,,,
153,AllenKey,Drill,F20_20_B,M30,S40_40_G,,,,,,,,,
154,AllenKey,Drill,F20_20_B,S40_40_B,S40_40_G,,,,,,,,,
155,AllenKey,Drill,F20_20_G,Housing,M20,,,,,,,,,
156,AllenKey,Drill,F20_20_G,Housing,M30,,,,,,,,,
157,AllenKey,Drill,F20_20_G,Housing,S40_40_B,,,,,,,,,
158,AllenKey,Drill,F20_20_G,Housing,S40_40_G,,,,,,,,,
159,AllenKey,Drill,F20_20_G,M20,M30,,,,,,,,,
160,AllenKey,Drill,F20_20_G,M20,S40_40_B,,,,,,,,,
161,AllenKey,Drill,F20_20_G,M20,S40_40_G,,,,,,,,,
162,AllenKey,Drill,F20_20_G,M30,S40_40_B,,,,,,,,,
163,AllenKey,Drill,F20_20_G,M30,S40_40_G,,,,,,,,,
164,AllenKey,Drill,F20_20_G,S40_40_B,S40_40_G,,,,,,,,,
165,AllenKey,Drill,Housing,M20,M30,,,,,,,,,
166,AllenKey,Drill,Housing,M20,S40_40_B,,,,,,,,,
167,AllenKey,Drill,Housing,M20,S40_40_G,,,,,,,,,
168,AllenKey,Drill,Housing,M30,S40_40_B,,,,,,,,,
169,AllenKey,Drill,Housing,M30,S40_40_G,,,,,,,,,
170,AllenKey,Drill,Housing,S40_40_B,S40_40_G,,,,,,,,,
171,AllenKey,Drill,M20,M30,S40_40_B,,,,,,,,,
172,AllenKey,Drill,M20,M30,S40_40_G,,,,,,,,,
173,AllenKey,Drill,M20,S40_40_B,S40_40_G,,,,,,,,,
174,AllenKey,Drill,M30,S40_40_B,S40_40_G,,,,,,,,,
175,AllenKey,F20_20_B,F20_20_G,Housing,M20,,,,,,,,,
176,AllenKey,F20_20_B,F20_20_G,Housing,M30,,,,,,,,,
177,AllenKey,F20_20_B,F20_20_G,Housing,S40_40_B,,,,,,,,,
178,AllenKey,F20_20_B,F20_20_G,Housing,S40_40_G,,,,,,,,,
179,AllenKey,F20_20_B,F20_20_G,M20,M30,,,,,,,,,
180,AllenKey,F20_20_B,F20_20_G,M20,S40_40_B,,,,,,,,,
181,AllenKey,F20_20_B,F20_20_G,M20,S40_40_G,,,,,,,,,
182,AllenKey,F20_20_B,F20_20_G,M30,S40_40_B,,,,,,,,,
183,AllenKey,F20_20_B,F20_20_G,M30,S40_40_G,,,,,,,,,
184,AllenKey,F20_20_B,F20_20_G,S40_40_B,S40_40_G,,,,,,,,,
185,AllenKey,F20_20_B,Housing,M20,M30,,,,,,,,,
186,AllenKey,F20_20_B,Housing,M20,S40_40_B,,,,,,,,,
187,AllenKey,F20_20_B,Housing,M20,S40_40_G,,,,,,,,,
188,AllenKey,F20_20_B,Housing,M30,S40_40_B,,,,,,,,,
189,AllenKey,F20_20_B,Housing,M30,S40_40_G,,,,,,,,,
190,AllenKey,F20_20_B,Housing,S40_40_B,S40_40_G,,,,,,,,,
191,AllenKey,F20_20_B,M20,M30,S40_40_B,,,,,,,,,
192,AllenKey,F20_20_B,M20,M30,S40_40_G,,,,,,,,,
193,AllenKey,F20_20_B,M20,S40_40_B,S40_40_G,,,,,,,,,
194,AllenKey,F20_20_B,M30,S40_40_B,S40_40_G,,,,,,,,,
195,AllenKey,F20_20_G,Housing,M20,M30,,,,,,,,,
196,AllenKey,F20_20_G,Housing,M20,S40_40_B,,,,,,,,,
197,AllenKey,F20_20_G,Housing,M20,S40_40_G,,,,,,,,,
198,AllenKey,F20_20_G,Housing,M30,S40_40_B,,,,,,,,,
